,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker
2022/2/7 5:23:05,0.448592527,0.551407473,41506.5,0.072770557,0.927229443,41534.29,0.466679515,0.533320485,41529.84,0.426045002,0.573954998,41538
2022/2/7 5:23:12,0.427346378,0.572653622,41506,0.128600709,0.871399291,41534.29,0.467760317,0.532239683,41529.84,0.293898828,0.706101172,41533
2022/2/7 5:23:19,0.258242994,0.741757006,41506.5,0.162014776,0.837985224,41536.54,0.511328578,0.488671422,41540.44,0.236867793,0.763132207,41533
2022/2/7 5:23:26,0.297960009,0.702039991,41506.5,0.224663967,0.775336033,41536.99,0.50823178,0.49176822,41540.44,0.356485663,0.643514337,41533
2022/2/7 5:23:34,0.30891307,0.69108693,41506.5,0.445061933,0.554938067,41539.16,0.50823178,0.49176822,41540.44,0.472168368,0.527831632,41533
2022/2/7 5:23:41,0.321874618,0.678125382,41506,0.278055054,0.721944946,41536.98,0.521372144,0.478627856,41540.44,0.503645399,0.496354601,41533
2022/2/7 5:23:48,0.302878518,0.697121482,41506.5,0.418599046,0.581400954,41536.98,0.519327018,0.480672982,41540.44,0.464405448,0.535594552,41533
2022/2/7 5:23:55,0.242213575,0.757786425,41506.5,0.04410278,0.95589722,41536.98,0.532876405,0.467123595,41540.44,0.461788463,0.538211537,41534
2022/2/7 5:24:03,0.308828133,0.691171867,41506.5,0.337718027,0.662281973,41536.98,0.531712895,0.468287105,41540.44,0.350655264,0.649344736,41536
2022/2/7 5:24:11,0.307805207,0.692194793,41506.5,0.039552839,0.960447161,41539.14,0.515650466,0.484349534,41540.44,0.374292444,0.625707556,41536
2022/2/7 5:24:18,0.286238138,0.713761862,41506,0.076252893,0.923747107,41539.13,0.456625782,0.543374218,41540.44,0.540065891,0.459934109,41538
2022/2/7 5:24:25,0.320071569,0.679928431,41506.5,0.543675354,0.456324646,41537.05,0.468678093,0.531321907,41540.44,0.332112919,0.667887081,41537
2022/2/7 5:24:33,0.306056528,0.693943472,41506.5,0.147572418,0.852427582,41536.99,0.51096785,0.48903215,41540.44,0.41304684,0.58695316,41535
2022/2/7 5:24:40,0.316024817,0.683975183,41506.5,0.439922189,0.560077811,41537.07,0.512347361,0.487652639,41540.44,0.48245542,0.51754458,41535
2022/2/7 5:24:47,0.332991557,0.667008443,41506.5,0.764219926,0.235780074,41536.99,0.508362001,0.491637999,41540.44,0.482471264,0.517528736,41535
2022/2/7 5:24:54,0.333274835,0.666725165,41506.5,0.674702797,0.325297203,41536.99,0.502174846,0.497825154,41540.44,0.511356594,0.488643406,41535
2022/2/7 5:25:01,0.292938007,0.707061993,41506.5,0.492528057,0.507471943,41537,0.516712923,0.483287077,41540.44,0.515762198,0.484237802,41535
2022/2/7 5:25:08,0.334558695,0.665441305,41506.5,0.145254034,0.854745966,41536.99,0.530651061,0.469348939,41540.44,0.520431289,0.479568711,41535
2022/2/7 5:25:15,0.350589143,0.649410857,41506.5,0.274242155,0.725757845,41536.99,0.507268462,0.492731538,41540.44,0.521979299,0.478020701,41535
2022/2/7 5:25:23,0.317108387,0.682891613,41506.5,0.071249136,0.928750864,41537.01,0.497541014,0.502458986,41538.37,0.494062198,0.505937802,41535
2022/2/7 5:25:32,0.315330633,0.684669367,41506.5,0.500631926,0.499368074,41537,0.4457025,0.5542975,41538.37,0.504211947,0.495788053,41535
2022/2/7 5:25:39,0.319952825,0.680047175,41506.5,0.529181142,0.470818858,41537,0.428953255,0.571046745,41538.37,0.423044525,0.576955475,41535
2022/2/7 5:25:47,0.368593703,0.631406297,41506,0.484159463,0.515840537,41536.97,0.447770231,0.552229769,41538.37,0.43752736,0.56247264,41535
2022/2/7 5:25:54,0.359028424,0.640971576,41506.5,0.268357143,0.731642857,41537.06,0.460925581,0.539074419,41538.37,0.508552663,0.491447337,41535
2022/2/7 5:26:01,0.361787061,0.638212939,41506.5,0.561959136,0.438040864,41535.29,0.527091364,0.472908636,41538.37,0.491372645,0.508627355,41535
2022/2/7 5:26:08,0.406637488,0.593362512,41506,0.397299966,0.602700034,41534.71,0.527091364,0.472908636,41538.37,0.502707,0.497293,41535
2022/2/7 5:26:15,0.399998388,0.600001612,41506,0.151745943,0.848254057,41534.72,0.520871867,0.479128133,41538.37,0.422452536,0.577547464,41535
2022/2/7 5:26:23,0.395486512,0.604513488,41506,0.130712576,0.869287424,41534.72,0.51638779,0.48361221,41538.37,0.439643501,0.560356499,41535
2022/2/7 5:26:30,0.406534432,0.593465568,41506,0.195802639,0.804197361,41534.71,0.508476651,0.491523349,41538.37,0.492176991,0.507823009,41535
2022/2/7 5:26:38,0.397618027,0.602381973,41506,0.163183834,0.836816166,41534.71,0.522204068,0.477795932,41538.37,0.489279537,0.510720463,41535
2022/2/7 5:26:45,0.421598976,0.578401024,41506,0.142678407,0.857321593,41534.72,0.528649927,0.471350073,41538.37,0.50406485,0.49593515,41535
2022/2/7 5:26:52,0.390236927,0.609763073,41506.5,0.048724071,0.951275929,41536.97,0.569037487,0.430962513,41538.37,0.333299962,0.666700038,41535
2022/2/7 5:27:00,0.342581486,0.657418514,41506,0.243724007,0.756275993,41537,0.516459341,0.483540659,41538.37,0.489639281,0.510360719,41532
2022/2/7 5:27:07,0.347258894,0.652741106,41506.5,0.464639519,0.535360481,41539.13,0.510703682,0.489296318,41538.37,0.476916561,0.523083439,41532
2022/2/7 5:27:14,0.34541339,0.65458661,41506.5,0.212968042,0.787031958,41539.14,0.653640585,0.346359415,41538.37,0.489048567,0.510951433,41532
2022/2/7 5:27:21,0.326067051,0.673932949,41506.5,0.063451806,0.936548194,41539.16,0.566525541,0.433474459,41540.44,0.328929412,0.671070588,41532
2022/2/7 5:27:28,0.336202778,0.663797222,41506.5,0.066031118,0.933968882,41539.15,0.581471058,0.418528942,41540.44,0.290145544,0.709854456,41532
2022/2/7 5:27:35,0.348770213,0.651229787,41506,0.332695184,0.667304816,41539.17,0.578610188,0.421389812,41540.44,0.487036789,0.512963211,41531
2022/2/7 5:27:43,0.341677456,0.658322544,41506,0.37508092,0.62491908,41539.18,0.511108479,0.488891521,41540.44,0.319851286,0.680148714,41531
2022/2/7 5:27:51,0.389942766,0.610057234,41506.5,0.838550319,0.161449681,41539.15,0.465121067,0.534878933,41540.44,0.496649557,0.503350443,41532
2022/2/7 5:27:59,0.386087876,0.613912124,41506,0.096233641,0.903766359,41536.11,0.560498574,0.439501426,41540.44,0.465017044,0.534982956,41532
2022/2/7 5:28:08,0.392591611,0.607408389,41506.5,0.890897182,0.109102818,41538.71,0.579851665,0.420148335,41540.44,0.477436996,0.522563004,41531
2022/2/7 5:28:16,0.399892464,0.600107536,41506,0.431610121,0.568389879,41536.15,0.44400133,0.55599867,41538.37,0.475491988,0.524508012,41532
2022/2/7 5:28:23,0.399657445,0.600342555,41506,0.546358853,0.453641147,41536.82,0.455173501,0.544826499,41538.37,0.351606417,0.648393583,41532
2022/2/7 5:28:30,0.405360979,0.594639021,41506.5,0.73988257,0.26011743,41536.85,0.438702737,0.561297263,41538.37,0.689008745,0.310991255,41532
2022/2/7 5:28:37,0.331208284,0.668791716,41506,0.356469552,0.643530448,41538.43,0.461448179,0.538551821,41538.37,0.522157492,0.477842508,41532
2022/2/7 5:28:44,0.341591645,0.658408355,41506,0.452796988,0.547203012,41538.43,0.466482543,0.533517457,41538.37,0.374460028,0.625539972,41535
2022/2/7 5:28:52,0.339849152,0.660150848,41506.5,0.567512053,0.432487947,41538.45,0.436523962,0.563476038,41538.37,0.503059734,0.496940266,41535
2022/2/7 5:29:00,0.343257508,0.656742492,41506.5,0.804442256,0.195557744,41537.31,0.456839304,0.543160696,41538.37,0.509818325,0.490181675,41535
2022/2/7 5:29:07,0.34315203,0.65684797,41506.5,0.739221137,0.260778863,41537.3,0.505204016,0.494795984,41538.37,0.511915458,0.488084542,41535
2022/2/7 5:29:14,0.318191164,0.681808836,41506.5,0.096375845,0.903624155,41537.31,0.448551593,0.551448407,41529.71,0.46213245,0.53786755,41536
2022/2/7 5:29:21,0.320532387,0.679467613,41506.5,0.484608123,0.515391877,41537.48,0.417069634,0.582930366,41525.6,0.486411893,0.513588107,41536
2022/2/7 5:29:29,0.319406151,0.680593849,41506,0.784719869,0.215280131,41538.98,0.453957997,0.546042003,41525.6,0.526863101,0.473136899,41536
2022/2/7 5:29:36,0.335494946,0.664505054,41506.5,0.817542143,0.182457857,41538.97,0.455616992,0.544383008,41525.6,0.523923292,0.476076708,41536
2022/2/7 5:29:44,0.327178761,0.672821239,41506.5,0.468701739,0.531298261,41538.97,0.466131441,0.533868559,41525.6,0.334491188,0.665508812,41535
2022/2/7 5:29:51,0.332867699,0.667132301,41506,0.472466429,0.527533571,41538.98,0.459808618,0.540191382,41525.6,0.350378556,0.649621444,41535
2022/2/7 5:29:58,0.301650708,0.698349292,41506.5,0.574757264,0.425242736,41538.97,0.459808558,0.540191442,41525.6,0.516340479,0.483659521,41535
2022/2/7 5:30:05,0.312738389,0.687261611,41506.5,0.118116467,0.881883533,41538.98,0.474810768,0.525189232,41525.6,0.42295502,0.57704498,41535
2022/2/7 5:30:12,0.274647939,0.725352061,41506.5,0.072918467,0.927081533,41539.14,0.507637923,0.492362077,41540.44,0.660981266,0.339018734,41539
2022/2/7 5:30:20,0.270702495,0.729297505,41506,0.435271184,0.564728816,41539.14,0.526918464,0.473081536,41540.44,0.502129715,0.497870285,41539
2022/2/7 5:30:27,0.290344833,0.709655167,41506.5,0.225880442,0.774119558,41539.14,0.431193503,0.568806497,41540.44,0.539682678,0.460317322,41539
2022/2/7 5:30:35,0.304822499,0.695177501,41506,0.242579999,0.757420001,41539.17,0.439629089,0.560370911,41540.44,0.468559026,0.531440974,41539
2022/2/7 5:30:43,0.311959878,0.688040122,41506.5,0.737897079,0.262102921,41539.17,0.462114782,0.537885218,41540.44,0.472036673,0.527963327,41539
2022/2/7 5:30:50,0.311497843,0.688502157,41506.5,0.818501289,0.181498711,41539.18,0.442011961,0.557988039,41540.44,0.742458012,0.257541988,41539
2022/2/7 5:30:58,0.305105168,0.694894832,41506.5,0.742690744,0.257309256,41539.18,0.499504391,0.500495609,41540.44,0.315450315,0.684549685,41539
2022/2/7 5:31:04,0.335119002,0.664880998,41506,0.26500879,0.73499121,41539.16,0.482602599,0.517397401,41540.44,0.555001599,0.444998401,41539
2022/2/7 5:31:12,0.348127498,0.651872502,41506.5,0.881791696,0.118208304,41539.15,0.482091553,0.517908447,41540.44,0.533298055,0.466701945,41539
2022/2/7 5:31:20,0.352913672,0.647086328,41506.5,0.894851634,0.105148366,41539.81,0.533330398,0.466669602,41540.44,0.561416873,0.438583127,41539
2022/2/7 5:31:27,0.370105614,0.629894386,41506.5,0.872309173,0.127690827,41539.18,0.528782037,0.471217963,41540.44,0.565762324,0.434237676,41539
2022/2/7 5:31:36,0.368640499,0.631359501,41506.5,0.798429582,0.201570418,41539.8,0.514313549,0.485686451,41528.87,0.571804587,0.428195413,41539
2022/2/7 5:31:43,0.369772303,0.630227697,41506.5,0.680327913,0.319672087,41539.19,0.526575614,0.473424386,41528.87,0.368857376,0.631142624,41539
2022/2/7 5:31:51,0.384578165,0.615421835,41506.5,0.648600849,0.351399151,41539.19,0.476511832,0.523488168,41528.87,0.560163323,0.439836677,41539
2022/2/7 5:31:58,0.429291631,0.570708369,41506.5,0.351096645,0.648903355,41539,0.526010845,0.473989155,41525.6,0.561845333,0.438154667,41539
2022/2/7 5:32:06,0.429327083,0.570672917,41506.5,0.24688682,0.75311318,41539.01,0.526852121,0.473147879,41525.6,0.929743687,0.070256313,41530
2022/2/7 5:32:13,0.717443883,0.282556117,41506.5,0.574653398,0.425346602,41521.57,0.591345994,0.408654006,41520.06,0.819008172,0.180991828,41519
2022/2/7 5:32:20,0.761258359,0.238741641,41506,0.716661963,0.283338037,41521.57,0.44414415,0.55585585,41520.06,0.811346668,0.188653332,41519
2022/2/7 5:32:28,0.765879854,0.234120146,41506.5,0.79650433,0.20349567,41520.01,0.490905833,0.509094167,41520.06,0.821823717,0.178176283,41519
2022/2/7 5:32:35,0.76164858,0.23835142,41506,0.643430267,0.356569733,41520,0.485029768,0.514970232,41520.06,0.811457137,0.188542863,41519
2022/2/7 5:32:42,0.735694291,0.264305709,41506,0.561896481,0.438103519,41519.95,0.485029768,0.514970232,41520.06,0.818702662,0.181297338,41519
2022/2/7 5:32:49,0.69215251,0.30784749,41506,0.185555614,0.814444386,41519.96,0.566924012,0.433075988,41520.06,0.73687666,0.26312334,41516
2022/2/7 5:32:56,0.766804456,0.233195544,41506,0.182724468,0.817275532,41525.69,0.488333259,0.511666741,41520.06,0.29286517,0.70713483,41525
