,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker,,,,,,,,,,,,
2022/2/7 19:22:45,0.570845353,0.429154647,42444,0.747056468,0.252943532,42462.32,0.547759856,0.452240144,42502.51,0.484864996,0.515135004,42460,,,,,,,,,,,,
2022/2/7 19:22:54,0.60745016,0.39254984,42444,0.7356421,0.2643579,42465.9,0.449480893,0.550519107,42502.51,0.450782526,0.549217474,42464,,,,,,,,,,,,
2022/2/7 19:23:02,0.613850826,0.386149174,42444.5,0.283263186,0.716736814,42464.07,0.49147431,0.50852569,42502.51,0.463735267,0.536264733,42464,,,,,,,,,,,,
2022/2/7 19:23:11,0.913040587,0.086959413,42444,0.384572918,0.615427082,42452.44,0.562763861,0.437236139,42456.97,0.349736874,0.650263126,42451,,,,,,,,,,,,
2022/2/7 19:23:20,0.243023137,0.756976863,42444.5,0.854748995,0.145251005,42473.56,0.473325425,0.526674575,42456.97,0.602079674,0.397920326,42466,,,,,,,,,,,,
2022/2/7 19:23:28,0.28838231,0.71161769,42444.5,0.338481522,0.661518478,42468.05,0.473081219,0.526918781,42456.91,0.686274736,0.313725264,42470,,,,,,,,,,,,
2022/2/7 19:23:37,0.266130308,0.733869692,42444,0.413547453,0.586452547,42472.28,0.508535983,0.491464017,42456.91,0.776208966,0.223791034,42470,,,,,,,,,,,,
2022/2/7 19:23:46,0.037746269,0.962253731,42444,0.482974462,0.517025538,42478.16,0.547798733,0.452201267,42462.61,0.554306935,0.445693065,42470,,,,,,,,,,,,
2022/2/7 19:23:54,0.154865734,0.845134266,42444,0.859658424,0.140341576,42473.56,0.504241998,0.495758002,42462.61,0.379898341,0.620101659,42477,,,,,,,,,,,,
2022/2/7 19:24:03,0.286338882,0.713661118,42444.5,0.669843004,0.330156996,42463.98,0.619389906,0.380610094,42462.61,0.238047899,0.761952101,42464,,,,,,,,,,,,
2022/2/7 19:24:11,0.374284343,0.625715657,42444.5,0.346332837,0.653667163,42465.68,0.424688793,0.575311207,42470.1,0.311058317,0.688941683,42463,,,,,,,,,,,,
2022/2/7 19:24:19,0.406712971,0.593287029,42444.5,0.248116915,0.751883085,42465.53,0.647034559,0.352965441,42470.1,0.271889317,0.728110683,42463,,,,,,,,,,,,
2022/2/7 19:24:28,0.539250894,0.460749106,42444.5,0.312485401,0.687514599,42460.51,0.581816074,0.418183926,42470.1,0.325542677,0.674457323,42464,,,,,,,,,,,,
2022/2/7 19:24:36,0.51970725,0.48029275,42444.5,0.377719222,0.622280778,42465.5,0.523333646,0.476666354,42452.07,0.292025976,0.707974024,42464,,,,,,,,,,,,
2022/2/7 19:24:45,0.676177253,0.323822747,42444,0.415117292,0.584882708,42465.26,0.682256091,0.317743909,42452.07,0.3190711,0.6809289,42464,,,,,,,,,,,,
2022/2/7 19:24:53,0.67924511,0.32075489,42444.5,0.23142103,0.76857897,42463.9,0.582661375,0.417338625,42452.07,0.259767143,0.740232857,42462,,,,,,,,,,,,
2022/2/7 19:25:01,0.71050886,0.28949114,42444.5,0.73589281,0.26410719,42460.55,0.583945597,0.416054403,42452.07,0.280699712,0.719300288,42462,,,,,,,,,,,,
2022/2/7 19:25:09,0.694231807,0.305768193,42444,0.744528817,0.255471183,42461.3,0.573401492,0.426598508,42452.07,0.335040719,0.664959281,42463,,,,,,,,,,,,
