,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker
2022/2/8 9:01:02,0.588438889,0.411561111,43864.5,0.389049789,0.610950211,43886.24,0.450730233,0.549269767,43893.1,0.600792262,0.399207738,43882
2022/2/8 9:01:11,0.08579521,0.91420479,43865,0.33023016,0.66976984,43888.17,0.507880415,0.492119585,43875.09,0.399363108,0.600636892,43893
2022/2/8 9:01:19,0.202804046,0.797195954,43865.5,0.218207101,0.781792899,43887.9,0.463645941,0.536354059,43875.09,0.415699686,0.584300314,43890
2022/2/8 9:01:27,0.128721149,0.871278851,43865.5,0.40206929,0.59793071,43890.01,0.379807962,0.620192038,43879.39,0.301541025,0.698458975,43890
2022/2/8 9:01:35,0.091627978,0.908372022,43865.5,0.506949433,0.493050567,43901.59,0.375250812,0.624749188,43879.39,0.581315786,0.418684214,43889
2022/2/8 9:01:44,0.030245795,0.969754205,43868,0.218901492,0.781098508,43899.21,0.473840451,0.526159549,43896.29,0.351083252,0.648916748,43894
2022/2/8 9:01:51,0.120709345,0.879290655,43875,0.641770027,0.358229973,43903.27,0.203048198,0.796951802,43902.95,0.366194993,0.633805007,43904
2022/2/8 9:02:01,0.620863876,0.379136124,43874.5,0.466199087,0.533800913,43887.48,0.556365007,0.443634993,43891.89,0.487599742,0.512400258,43900
2022/2/8 9:02:10,0.641899758,0.358100242,43874.5,0.141502528,0.858497472,43889.38,0.565764016,0.434235984,43891.89,0.498376922,0.501623078,43888
2022/2/8 9:02:18,0.614996433,0.385003567,43874.5,0.149751998,0.850248002,43892.72,0.50159844,0.49840156,43887.23,0.391732467,0.608267533,43889
2022/2/8 9:02:26,0.467860062,0.532139938,43874.5,0.197773367,0.802226633,43893.59,0.525149343,0.474850657,43887.23,0.17356977,0.82643023,43926
2022/2/8 9:02:35,0.416338438,0.583661562,43912.5,0.157153307,0.842846693,43923.57,0.297499124,0.702500876,43925.57,0.595331243,0.404668757,43933
2022/2/8 9:02:44,0.373597115,0.626402885,43912.5,0.268188223,0.731811777,43932.21,0.649070527,0.350929473,43949.48,0.339468894,0.660531106,43934
2022/2/8 9:02:52,0.393117669,0.606882331,43913,0.201368353,0.798631647,43932.55,0.481027937,0.518972063,43922.97,0.398972714,0.601027286,43934
2022/2/8 9:03:01,0.431814553,0.568185447,43913,0.521457562,0.478542438,43913.72,0.517872488,0.482127512,43937.48,0.692888399,0.307111601,43922
2022/2/8 9:03:09,0.76693259,0.23306741,43903.5,0.245541415,0.754458585,43914.53,0.485000633,0.514999367,43901.69,0.555593854,0.444406146,43913
2022/2/8 9:03:18,0.712220884,0.287779116,43903.5,0.166200934,0.833799066,43911.38,0.411638856,0.588361144,43901.69,0.578623329,0.421376671,43913
2022/2/8 9:03:26,0.792492253,0.207507747,43904,0.413151308,0.586848692,43914.52,0.554581259,0.445418741,43905.26,0.348755036,0.651244964,43922
2022/2/8 9:03:34,0.728290397,0.271709603,43903.5,0.080899767,0.919100233,43925.91,0.551243505,0.448756495,43922.44,0.405090101,0.594909899,43923
2022/2/8 9:03:42,0.423955886,0.576044114,43903.5,0.542656275,0.457343725,43927.74,0.521282258,0.478717742,43922.44,0.402651925,0.597348075,43923
2022/2/8 9:03:50,0.319357183,0.680642817,43903.5,0.403080021,0.596919979,43930.99,0.351316872,0.648683128,43922.44,0.325001011,0.674998989,43923
2022/2/8 9:03:58,0.38027259,0.61972741,43903.5,0.48164389,0.51835611,43930.13,0.545002625,0.454997375,43925,0.563223476,0.436776524,43923
2022/2/8 9:04:07,0.36115942,0.63884058,43904,0.181642151,0.818357849,43930.49,0.541830434,0.458169566,43928.16,0.379251477,0.620748523,43923
2022/2/8 9:04:15,0.386729366,0.613270634,43903.5,0.813007285,0.186992715,43926.08,0.551285708,0.448714292,43928.16,0.412434634,0.587565366,43930
2022/2/8 9:04:23,0.733711145,0.266288855,43886.5,0.325039486,0.674960514,43912.47,0.423248154,0.576751846,43909.82,0.789186982,0.210813018,43908
2022/2/8 9:04:31,0.45117327,0.54882673,43886.5,0.448796806,0.551203194,43903.12,0.462030452,0.537969548,43909.82,0.697432631,0.302567369,43904
2022/2/8 9:04:40,0.696863674,0.303136326,43886.5,0.820428288,0.179571712,43890.6,0.391931043,0.608068957,43888.94,0.73287816,0.26712184,43895
2022/2/8 9:04:49,0.930337416,0.069662584,43882.5,0.453482017,0.546517983,43886.76,0.440052211,0.559947789,43888.94,0.568681951,0.431318049,43888
2022/2/8 9:04:56,0.987484027,0.012515973,43845,0.721376229,0.278623771,43855.36,0.519978462,0.480021538,43847.63,0.320700134,0.679299866,43852
2022/2/8 9:05:05,0.258070874,0.741929126,43781.5,0.504372888,0.495627112,43806.72,0.53018736,0.46981264,43830.68,0.539481343,0.460518657,43809
2022/2/8 9:05:12,0.968496274,0.031503726,43781.5,0.718302649,0.281697351,43788.99,0.534516663,0.465483337,43811.67,0.576913106,0.423086894,43786
2022/2/8 9:05:20,0.359540025,0.640459975,43763.5,0.250968032,0.749031968,43798.27,0.505131416,0.494868584,43783.79,0.722863415,0.277136585,43786
2022/2/8 9:05:29,0.016243583,0.983756417,43775,0.151250066,0.848749934,43807.56,0.476393954,0.523606046,43803.47,0.273102489,0.726897511,43803
2022/2/8 9:05:37,0.94228602,0.05771398,43777,0.572540677,0.427459323,43788.33,0.407133247,0.592866753,43803.47,0.700279368,0.299720632,43800
2022/2/8 9:05:45,0.893779952,0.106220048,43776,0.159469808,0.840530192,43782.11,0.465284152,0.534715848,43803.47,0.614060973,0.385939027,43789
